Date,One Prize,Two Top,Three Top,Two Low,Three Fronts/Three Bottoms 1,Three Fronts/Three Bottoms 2,Three Fronts/Three Bottoms 3,Three Fronts/Three Bottoms 4
30/12/2549,778584,84,584,07,811,403,403,971
16/12/2549,147977,77,977,45,439,694,694,197
01/12/2549,270052,52,052,12,621,462,462,236
16/11/2549,562856,56,856,94,508,307,307,347
01/11/2549,910957,57,957,29,647,739,739,905
16/10/2549,264825,25,825,58,903,092,092,832
01/10/2549,952335,35,335,92,007,804,804,951
16/09/2549,217948,48,948,41,916,290,290,121
01/09/2549,381761,61,761,44,600,693,693,626
16/08/2549,977486,86,486,91,221,305,305,103
01/08/2549,238654,54,654,88,847,005,005,487
16/07/2549,512434,34,434,48,989,098,098,432
01/07/2549,952890,90,890,65,126,183,183,839
16/06/2549,100935,35,935,17,381,410,410,250
01/06/2549,810850,50,850,99,526,149,149,664
16/05/2549,100344,44,344,71,386,463,463,696
02/05/2549,024554,54,554,27,006,438,438,117
16/04/2549,038564,64,564,49,210,442,442,877
01/04/2549,738365,65,365,95,064,955,955,522
16/03/2549,936177,77,177,30,486,185,185,320
01/03/2549,582473,73,473,43,586,801,801,914
16/02/2549,317009,09,009,66,784,240,240,280
01/02/2549,412729,29,729,87,915,720,720,384
16/01/2549,432747,47,747,79,222,789,789,200
30/12/2548,492955,55,955,94,066,308,308,150
16/12/2548,449565,65,565,86,802,162,162,994
01/12/2548,388551,51,551,17,072,764,764,770
16/11/2548,742518,18,518,80,502,741,741,137
01/11/2548,970577,77,577,98,171,375,375,216
16/10/2548,041072,72,072,71,346,913,913,269
01/10/2548,766482,82,482,24,766,551,551,275
16/09/2548,214768,68,768,10,498,282,282,057
01/09/2548,316933,33,933,17,123,338,338,047
16/08/2548,475560,60,560,68,272,844,844,915
01/08/2548,961633,33,633,26,055,152,152,272
16/07/2548,477452,52,452,13,757,150,150,642
01/07/2548,009554,54,554,87,798,427,427,244
16/06/2548,793070,70,070,44,806,021,021,605
01/06/2548,176893,93,893,35,176,579,579,405
16/05/2548,867134,34,134,97,376,648,648,693
02/05/2548,772467,67,467,43,017,383,383,073
16/04/2548,119327,27,327,10,081,968,968,627
01/04/2548,815753,53,753,69,482,381,381,807
16/03/2548,196345,45,345,03,073,601,601,394
01/03/2548,800751,51,751,93,681,714,714,669
16/02/2548,816422,22,422,53,086,356,356,065
01/02/2548,540054,54,054,34,389,180,180,571
16/01/2548,335022,22,022,08,689,291,291,479
30/12/2547,168858,58,858,28,221,603,603,179
16/12/2547,479372,72,372,17,288,075,075,183
01/12/2547,504658,58,658,69,139,014,014,691
16/11/2547,754622,22,622,64,918,019,019,904
01/11/2547,185966,66,966,23,862,137,137,661
16/10/2547,355858,58,858,62,162,200,200,890
01/10/2547,110866,66,866,66,200,547,547,806
16/09/2547,923373,73,373,59,295,888,888,867
01/09/2547,096597,97,597,70,709,929,929,456
16/08/2547,335921,21,921,59,114,082,082,288
02/08/2547,868990,90,990,45,956,811,811,377
16/07/2547,205588,88,588,25,696,726,726,154
01/07/2547,312471,71,471,66,313,598,598,261
16/06/2547,208713,13,713,87,414,911,911,986
